player,shots,goals,total_xg,g_minus_xg,xg_per_shot
Ellyes Joris Skhiri,2,0,0.10699407274024131,-0.10699407274024131,0.053497036370120654
Elseid Hysaj,2,0,0.09123674354310149,-0.09123674354310149,0.045618371771550745
Emerson Palmieri dos Santos,3,0,0.10859040781444443,-0.10859040781444443,0.03619680260481481
Emil Hallfreðsson,1,0,0.01704297584104258,-0.01704297584104258,0.01704297584104258
Emil Krafth,1,0,0.021696150762244085,-0.021696150762244085,0.021696150762244085
Emil Peter Forsberg,25,4,1.5232953551350934,2.4767046448649066,0.060931814205403736
Emre Can,1,1,0.01961878325649586,0.9803812167435041,0.01961878325649586
Enis Bardhi,4,0,0.16300286781419981,-0.16300286781419981,0.040750716953549954
Enner Remberto Valencia Lastra,7,2,1.123564686483284,0.876435313516716,0.16050924092618343
Enzo Fernandez,8,1,0.24795480229501804,0.752045197704982,0.030994350286877255
Enzo Nicolás Pérez,1,0,0.2507303728198687,-0.2507303728198687,0.2507303728198687
Eric Dier,5,0,0.72983452898617,-0.72983452898617,0.14596690579723398
Eric García Martret,1,0,0.05388743469777054,-0.05388743469777054,0.05388743469777054
Erik Janža,3,1,0.1321108391074106,0.8678891608925894,0.04403694636913686
Ernesto Alexis Vega Rojas,8,0,0.648980989911514,-0.648980989911514,0.08112262373893925
Ethan Ampadu,1,0,0.009458446036149357,-0.009458446036149357,0.009458446036149357
Evgeny Makarenko,1,0,0.035450804850135346,-0.035450804850135346,0.035450804850135346
Exequiel Alejandro Palacios,1,0,0.07098361120754512,-0.07098361120754512,0.07098361120754512
Ezgjan Alioski,2,1,0.39903669714904594,0.600963302850954,0.19951834857452297
Fabian Delph,3,0,0.10017909406839696,-0.10017909406839696,0.03339303135613232
Fabian Lukas Schär,10,0,0.6752267914402059,-0.6752267914402059,0.06752267914402059
Fabián Ruiz Peña,18,2,1.1311785138118606,0.8688214861881394,0.0628432507673256
Facundo Pellistri Rebollo,1,0,0.08629775693394658,-0.08629775693394658,0.08629775693394658
Fahad Mosaed Al Muwallad Al Harbi,1,0,0.032514780226743145,-0.032514780226743145,0.032514780226743145
Fakhreddine Ben Youssef,7,1,1.4032733268195807,-0.4032733268195807,0.20046761811708297
Famara Diedhiou,3,1,0.2894149782424754,0.7105850217575246,0.09647165941415847
Faustino Marcos Alberto Rojo,2,1,0.11292190148405143,0.8870780985159485,0.056460950742025715
Federico Bernardeschi,2,0,0.05701425493896077,-0.05701425493896077,0.028507127469480385
Federico Chiesa,24,2,1.3733774227284303,0.6266225772715697,0.057224059280351264
Federico Dimarco,2,0,0.04060516794104099,-0.04060516794104099,0.020302583970520496
Federico Santiago Valverde Dipetta,7,0,0.17604298025229861,-0.17604298025229861,0.0251489971788998
Felipe Abdiel Baloy Ramírez,1,1,0.18649595689132797,0.813504043108672,0.18649595689132797
Felix Eduardo Torres Caicedo,1,0,0.16138183049191504,-0.16138183049191504,0.16138183049191504
Ferdi Erenay Kadıoğlu,2,0,0.0615090541229587,-0.0615090541229587,0.03075452706147935
Ferjani Sassi,5,0,0.24700658174275814,-0.24700658174275814,0.049401316348551626
Fermin Lopez Marin,2,0,0.034744150126904294,-0.034744150126904294,0.017372075063452147
Fernando Luiz Roza,3,0,0.16281208056552116,-0.16281208056552116,0.054270693521840385
Ferrán Torres García,16,4,2.1432929000990715,1.8567070999009285,0.13395580625619197
Filip Kostić,5,0,1.056501784631039,-1.056501784631039,0.2113003569262078
Filip Mladenović,1,0,0.010320497718125632,-0.010320497718125632,0.010320497718125632
Filipe Luís Kasmirski,1,0,0.016237003548119675,-0.016237003548119675,0.016237003548119675
Firas Tariq Nasser Al Albirakan,2,0,0.11474801566435155,-0.11474801566435155,0.05737400783217578
Florian Grillitsch,6,0,0.26851718561872184,-0.26851718561872184,0.044752864269786974
Florian Wirtz,8,2,0.5422840460380463,1.4577159539619537,0.06778550575475578
Florinel Teodor Coman,2,0,0.09813027674506145,-0.09813027674506145,0.04906513837253072
Fran Karačić,3,0,0.07702380730542616,-0.07702380730542616,0.025674602435142052
Francesco Acerbi,1,0,0.08462509610288169,-0.08462509610288169,0.08462509610288169
Francisco Fernandes Conceição,5,1,0.6215559338282383,0.37844406617176174,0.12431118676564765
Francisco Javier Calvo Quesada,2,0,0.0672196489723706,-0.0672196489723706,0.0336098244861853
Francisco Román Alarcón Suárez,9,1,0.8430125118688604,0.1569874881311396,0.09366805687431783
Frederico Rodrigues Santos,3,0,0.35929641970865295,-0.35929641970865295,0.11976547323621765
Frenkie de Jong,2,1,0.8617786443714356,0.1382213556285644,0.4308893221857178
Fyodor Smolov,2,0,0.07884109914768331,-0.07884109914768331,0.039420549573841654
Gabriel Arturo Torres Tejada,1,0,0.16914307981818982,-0.16914307981818982,0.16914307981818982
Gabriel Fernando de Jesus,12,0,2.2604997085364,-2.2604997085364,0.18837497571136666
